 2021-12-13T18:05:04.309Z INFO  run > Using area: 2013265923TYPE299
 2021-12-13T18:05:04.309Z INFO  run > Using mode simulate for area '2013265923TYPE299'
 2021-12-13T18:05:04.309Z INFO  run > Loading data from disk...
 2021-12-13T18:05:04.313Z INFO  load_census_data > Fetching table 'data/copy/tables/2013265923TYPE299/ks101ew_population_144.csv'
 2021-12-13T18:05:07.842Z INFO  load_census_data > Fetching table 'data/copy/tables/2013265923TYPE299/ks608uk_occupation_count_NM_1518_1.csv'
 2021-12-13T18:05:08.276Z INFO  load_census_data > Fetching table 'data/copy/tables/2013265923TYPE299/wf01bew_residential_vs_workplace_NM_1228_1.csv'
 2021-12-13T18:05:09.100Z INFO  run              > Finished loading data in 4.791217062s,     Now Initialising  simulator
 2021-12-13T18:05:09.100Z DEBUG sim::simulator   > Current memory usage: 2.241 GB
 2021-12-13T18:05:09.101Z INFO  sim::models      > Loading map data from file...
 2021-12-13T18:05:10.399Z INFO  sim::models      > Finished loading map data in 1.297487093s
 2021-12-13T18:05:10.399Z INFO  sim::simulator   > Loaded map data in 1.29846196s
 2021-12-13T18:05:20.942Z INFO  sim::simulator   > Built residential population in 11.84226115s
 2021-12-13T18:05:20.942Z DEBUG sim::simulator   > Current memory usage: 4.131 GB
 2021-12-13T18:05:25.381Z INFO  sim::simulator   > Generated workplaces in 16.28118846s
 2021-12-13T18:05:25.381Z DEBUG sim::simulator   > Current memory usage: 4.266 GB
 2021-12-13T18:05:25.416Z INFO  sim::simulator   > Initialization completed in 16.315647 seconds
 2021-12-13T18:05:25.416Z DEBUG sim::simulator   > Current memory usage: 4.266 GB
 2021-12-13T18:05:25.416Z DEBUG sim::simulator   > Starting Statistics:
      There are 5249772 total Citizens
      17246 Output Areas
 2021-12-13T18:05:25.468Z INFO  run              > Initialised simulator, starting sim...
 2021-12-13T18:05:25.468Z INFO  sim::simulator   > Starting simulation...
Completed     10 time steps, in: 0.00 seconds  Statistics: Hour:    0, Total:        0, Susceptible:        0, Exposed:        0, Infected:        0, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 18.38 seconds  Statistics: Hour:  430, Total:  5249772, Susceptible:  4350918, Exposed:   523277, Infected:   375567, Recovered:       10 Vaccinated:        0,   Memory usage: 4.323 GB
Completed     10 time steps, in: 10.29 seconds  Statistics: Hour:  440, Total:  5249772, Susceptible:  4327589, Exposed:   536961, Infected:   385182, Recovered:       40 Vaccinated:        0,   Memory usage: 4.323 GB
Completed     10 time steps, in: 41.23 seconds  Statistics: Hour:  450, Total:  5249772, Susceptible:  1777605, Exposed:  3079317, Infected:   392459, Recovered:      391 Vaccinated:        0,   Memory usage: 4.323 GB
Completed     10 time steps, in: 11.22 seconds  Statistics: Hour:  460, Total:  5249772, Susceptible:  1775706, Exposed:  3078688, Infected:   394987, Recovered:      391 Vaccinated:        0,   Memory usage: 4.323 GB
Completed     10 time steps, in: 33.18 seconds  Statistics: Hour:  470, Total:  5249772, Susceptible:  1715701, Exposed:  3138492, Infected:   395182, Recovered:      397 Vaccinated:        0,   Memory usage: 4.323 GB
Completed     10 time steps, in: 19.06 seconds  Statistics: Hour:  480, Total:  5249772, Susceptible:  1713724, Exposed:  3140384, Infected:   395265, Recovered:      399 Vaccinated:        0,   Memory usage: 4.323 GB
Completed     10 time steps, in: 18.80 seconds  Statistics: Hour:  490, Total:  5249772, Susceptible:  1712558, Exposed:  3141547, Infected:   395268, Recovered:      399 Vaccinated:        0,   Memory usage: 4.323 GB
Completed     10 time steps, in: 33.12 seconds  Statistics: Hour:  500, Total:  5249772, Susceptible:  1711962, Exposed:  3142142, Infected:   395269, Recovered:      399 Vaccinated:        0,   Memory usage: 4.323 GB
Completed     10 time steps, in: 11.13 seconds  Statistics: Hour:  510, Total:  5249772, Susceptible:  1711962, Exposed:  3142142, Infected:   395269, Recovered:      399 Vaccinated:        0,   Memory usage: 4.323 GB
Completed     10 time steps, in: 39.05 seconds  Statistics: Hour:  520, Total:  5249772, Susceptible:  1711930, Exposed:  3142174, Infected:   395269, Recovered:      399 Vaccinated:        0,   Memory usage: 4.323 GB
